enabled;name;label;data_type;address;access;comment
false;cycle_id;key;Real;DB1,R0;read;Progressive Cycle Number (Cyclic from 1 to 9999) [#]
false;shaft_combustion;production;Real;DB1,R4;read;Shaft in Combustion [#]
true;cycle_time;time;Real;;read;Cycle Time [s]
true;combustion_time;time;Real;;read;Combustion Time [s]
true;inversion_time;time;Real;;read;Inversion Time [s]
true;cycle_disabled_time;time;Real;;read;Time Cycle Disabled [s]
true;fuel_supply_time;time;Real;;read;Time Fuel Supply [s]
true;limestone_cycle;production;Real;;read;Limestone for Cycle - Process Value [kg/cycle]
true;limestone_cycle_setpoint;production;Real;;read/write;Limestone for Cycle - Setpoint [kg/cycle]
true;lime_cycle;production;Real;;read;Lime for Cycle [kg/cycle]
true;nominal_prod;production;Real;;read;Nominal Production [tpd]
true;heat_consumption;fuel;Real;;read;Heat Consumption [kcal/kg]
true;heat_consumption_setpoint;fuel;Real;;read/write;Heat Consumption - Setpoint [kcal/kg]
true;fuel_cycle;fuel;Real;;read;Fuel for Cycle - Process Value [Nm�/cycle]
true;fuel_cycle_setpoint;fuel;Real;;read/write;Fuel for Cycle - Setpoint [Nm�/cycle]
true;fuel_flow;fuel;Real;;read;Fuel Flow - Process Value [Nm�/h]
true;fuel_flow_setpoint;fuel;Real;;read/write;Fuel Flow - Setpoint [Nm�/h]
true;low_heat_val_air_calc;air;Real;;read/write;Low Heat Value air used for calculations [kcal/Nm�]
true;stoich_air_calc;air;Real;;read/write;Stoichiometric air used for calculation [m�(n)/kg]
true;combustion_air_flow_theo;air;Real;;read;Combustion Air Flow by Theoretical Calculation [m�(n)/h]
true;combustion_air_flow;air;Real;;read;Combustion Air Flow [m�(n)/h]
true;combustion_air_index;air;Real;;read;Combustion Air Index (Excess of Air) - Process Value [#]
true;combustion_air_index_setpoint;air;Real;;read/write;Combustion Air Index (Excess of Air) - Setpoint [#]
true;combustion_air_blower_speed;air;Real;;read;Combustion Air Blower used for regulation - Speed - Process Value
true;combustion_air_blower_speed_setpoint;air;Real;;read/write;Combustion Air Blower used for regulation - Speed - Setpoint
true;cool_air_flow_theo;air;Real;;read;Lime Cooling Air Flow by Theoretical Calculation [m�(n)/h]
true;cool_air_flow;air;Real;;read;Lime Cooling Air Flow
true;cool_air_ratio;air;Real;;read;Lime Cooling Air Ratio - Process Value [#]
true;cool_air_ratio_setpoint;air;Real;;read/write;Lime Cooling Air Ratio - Setpoint [#]
true;cool_air_blower_speed;air;Real;;read;Lime Cooling Air Blower used for regulation - Speed - Process Value
true;cool_air_blower_speed_setpoint;air;Real;;read/write;Lime Cooling Air Blower used for regulation - Speed - Setpoint
true;channel_temp1;temperature;Real;;read;Channel Temperature 1 [�C]
true;channel_temp2;temperature;Real;;read;Channel Temperature 2 [�C]
true;waste_gases_temp_outlet_kiln;temperature;Real;;read;Waste Gases Temperature - Outlet Kiln [�C]
true;waste_gases_temp_inlet_kiln_filter;temperature;Real;;read;Waste Gases Temperature - Inlet Kiln Filter [�C]
true;shaft1_drawer_pipe_temp;temperature;Real;;read;Shaft 1 Drawer Pipe Side - Lime Temperature [�C]
true;shaft1_drawer_skip_temp;temperature;Real;;read;Shaft 1 Drawer Skip Side - Lime Temperature [�C]
true;shaft2_drawer_pipe_temp;temperature;Real;;read;Shaft 2 Drawer Pipe Side - Lime Temperature [°C]
true;shaft2_drawer_skip_temp;temperature;Real;;read;Shaft 2 Drawer Skip Side - Lime Temperature [°C]
true;combustion_air_pressure;pressure;Real;;read;Combustion Air Pressure [mbar]
true;lime_cool_air_pressure;pressure;Real;;read;Lime Cooling Air Pressure [mbar]
true;channel_air_pressure;pressure;Real;;read;Channel Air Pressure [mbar]
true;shaft1_lances_cool_air_pressure;pressure;Real;;read;Shaft 1 Lances Cooling Air Pressure [mbar]
true;shaft2_lances_cool_air_pressure;pressure;Real;;read;Shaft 2 Lances Cooling Air Pressure [mbar]
true;shaft1_strokes;production;Real;;read;Shaft 1 - Number of Total Strokes [#]
true;shaft2_strokes;production;Real;;read;Shaft 2 - Number of Total Strokes [#]
true;natural_gas_temp;temperature;Real;;read;Natural Gas - Temperature [°C]
true;natural_gas_pressure;production;Real;;read;Natural Gas - Pressure [barg]
true;natural_gas_output_regulator;fuel;Real;;read;Natural Gas - Output Regulator [%]
true;hydraulic_oil_temp;temperature;Real;;read;Hydraulic Oil - Temperature [°C]
true;hydraulic_oil_pressure;pressure;Real;;read;Hydraulic Oil - Pressure [bar]
true;waiting_time;time;Real;;read;Waiting Time [s]
true;unavailability_time;time;Real;;read;Unavailability Time [s]
true;drawer_sampling_time;time;Real;;read;Drawer Sampling [s]
true;valves_maint_time;time;Real;;read;Valves Time Maintenance [s]
true;hyd_oil_unit_maint_time;time;Real;;read;Hydraulic Oil Unit Time Maintenance [s]
true;hyd_oil_plant_maint_time;time;Real;;read;Hydraulic Oil Plant Time Maintenance [s]
true;blower_maint_time;time;Real;;read;Blower Time Maintenance [s]
true;skip_maint_time;time;Real;;read;Skip Time Maintenance [s]
true;limestone_hopper_time;time;Real;;read;Limestone Weighed Hopper Calibration [s]
true;other_maint_time;time;Real;;read;Other Maintenance [s]
true;mechanical_issue_time;time;Real;;read;Mechanical Issue [s]
true;electrical_issue_time;time;Real;;read;Electrical Issue [s]
true;process_issue_time;time;Real;;read;Process Issue [s]
true;other_issue_time;time;Real;;read;Other Is+B2:B66sue [s]
